model,prompt_type,accuracy,f1,precision,recall,token_variance,total,yes_count,no_count,yes_ratio,valid_predictions
llama32_1b_rawcot,cot,0.567,0.30048465266558966,0.7815126050420168,0.186,16483.508715999997,1000,119,881,0.119,1000
llama32_1b_rawcot,gene,0.511,0.13756613756613756,0.582089552238806,0.078,9719.429391000001,1000,67,933,0.067,1000
llama32_1b_rawcot,phenotype,0.495,0.1652892561983471,0.47619047619047616,0.1,16679.921596,1000,105,895,0.105,1000
llama32_1b_rawcot,fcot,0.567703109327984,0.6928011404133999,0.5376106194690266,0.9739478957915831,17657.8756,1000,904,93,0.9067201604814443,997
llama32_1b_rawcot,raw,0.5,0.00398406374501992,0.5,0.002,69.878924,1000,2,998,0.002,1000
llama32_1b_rawcot,fraw,0.595,0.5054945054945055,0.6489028213166145,0.414,1208.071296,1000,319,681,0.319,1000
llama32_3b,cot,0.692,0.6716417910447762,0.7191780821917808,0.63,1100.6600639999997,1000,438,562,0.438,1000
llama32_3b,gene,0.618,0.4349112426035503,0.8352272727272727,0.294,56899.34383900001,1000,176,824,0.176,1000
llama32_3b,phenotype,0.638,0.4986149584487535,0.8108108108108109,0.36,44282.80909999999,1000,222,778,0.222,1000
llama32_3b,fcot,0.56,0.6769456681350955,0.5348027842227379,0.922,64362.897775,1000,862,138,0.862,1000
llama32_3b,raw,0.608,0.40606060606060607,0.8375,0.268,649.046624,1000,160,840,0.16,1000
llama32_3b,fraw,0.601,0.6970387243735763,0.5618115055079559,0.918,117521.895319,1000,817,183,0.817,1000
llama32_1b,cot,0.579,0.33700787401574805,0.7925925925925926,0.214,5125.640239,1000,135,865,0.135,1000
llama32_1b,gene,0.505,0.038834951456310676,0.6666666666666666,0.02,3044.214975,1000,15,985,0.015,1000
llama32_1b,phenotype,0.512,0.05791505791505792,0.8333333333333334,0.03,5098.216956,1000,18,982,0.018,1000
llama32_1b,fcot,0.652,0.5972222222222222,0.7087912087912088,0.516,31124.195239,1000,364,636,0.364,1000
llama32_1b,raw,0.508,0.031496062992125984,1.0,0.016,750.436624,1000,8,992,0.008,1000
llama32_1b,fraw,0.58,0.5280898876404494,0.6025641025641025,0.47,32306.283758999987,1000,390,610,0.39,1000
gemini,cot,0.806,0.7723004694835681,0.9346590909090909,0.658,2642.773871,1000,352,648,0.352,1000
gemini,gene,0.699290780141844,0.7369727047146402,0.9705882352941176,0.594,0.5267340677028318,705,306,399,0.4340425531914894,705
gemini,phenotype,0.799,0.7632508833922261,0.9283667621776505,0.648,0.7358039999999999,1000,349,651,0.349,1000
gemini,fcot,0.847,0.8282828282828283,0.9437340153452686,0.738,494.526956,1000,391,609,0.391,1000
gemini,raw,0.7407407407407407,0.6578599735799208,0.9651162790697675,0.49899799599198397,0.5701156612067523,999,258,741,0.25825825825825827,999
gemini,fraw,0.841,0.8243093922651934,0.9209876543209876,0.746,0.0,1000,405,595,0.405,1000
llama32_3b_rawcot,cot,0.733,0.7534626038781164,0.6998284734133791,0.816,3387.5982559999984,1000,583,417,0.583,1000
llama32_3b_rawcot,gene,0.694,0.720292504570384,0.6632996632996633,0.788,37881.097100000006,1000,594,406,0.594,1000
llama32_3b_rawcot,phenotype,0.701,0.7351638618246236,0.6597774244833068,0.83,26523.554550999994,1000,629,371,0.629,1000
llama32_3b_rawcot,fcot,0.5572289156626506,0.6825053995680346,0.531986531986532,0.9518072289156626,73628.992236,1000,891,105,0.8945783132530121,996
llama32_3b_rawcot,raw,0.752,0.7262693156732892,0.8103448275862069,0.658,476.6365937500001,2000,812,1188,0.406,2000
llama32_3b_rawcot,fraw,0.529,0.6767330130404942,0.5151515151515151,0.986,114617.25790000001,1000,957,43,0.957,1000
